GaussianMLPPolicy/LossAfter,Evaluation/TerminationRate,Evaluation/AverageReturn,Evaluation/Iteration,GaussianMLPPolicy/dLoss,GaussianMLPPolicy/LossBefore,GaussianMLPValueFunction/LossBefore,Evaluation/MinReturn,GaussianMLPPolicy/KL,TotalEnvSteps,Evaluation/MaxReturn,GaussianMLPValueFunction/dLoss,Evaluation/StdReturn,Evaluation/NumEpisodes,GaussianMLPPolicy/Entropy,GaussianMLPPolicy/KLBefore,Evaluation/SuccessRate,Evaluation/AverageDiscountedReturn,GaussianMLPValueFunction/LossAfter
-0.0011305632069706917,0.0,135.41984432001416,0,0.0011305613443255424,-1.8715857752482634e-09,514.5443115234375,2.9440516883067063,0.009904997423291206,2500,364.40322570529844,174.1365966796875,162.18623329624077,5,5.64258337020874,0.0,0.0,49.23037700367739,340.40771484375
-0.0009474179241806269,0.0,149.5672151206008,1,0.0009474169928580523,-9.059906158626063e-10,432.96453857421875,2.444895174459942,0.007303230464458466,5000,422.1827922768833,108.51116943359375,181.48014044318313,5,5.6264328956604,0.0,0.0,61.64382933022083,324.453369140625
-0.0009266865672543645,0.0,240.26470898947687,2,0.0009266862762160599,-2.861023085110048e-10,996.7913818359375,2.351420100957104,0.006902966182678938,7500,605.4908994762575,308.44586181640625,289.4628062106804,5,5.596827030181885,0.0,0.0,84.7022592709549,688.3455200195312
-0.0019195937784388661,0.0,187.57620179819023,3,0.001919593196362257,-6.318092160562117e-10,490.5871887207031,1.796940831788452,0.009280639700591564,10000,602.0381062583415,85.07855224609375,241.71029450074974,5,5.5437140464782715,0.0,0.0,63.29422622920917,405.5086364746094
-0.0022680333349853754,0.0,150.28006329550252,4,0.0022680347319692373,1.39474864990774e-09,165.68043518066406,2.2746683603738975,0.006866052281111479,12500,385.15043067459527,16.625198364257812,180.0150125875673,5,5.512882232666016,0.0,0.0,57.38215464840355,149.05523681640625
-0.0017771278508007526,0.0,132.50775590360587,5,0.0017771308775991201,3.0755997748599384e-09,101.0202865600586,2.0329890474930306,0.009312594309449196,15000,354.6154610946641,9.000083923339844,159.2238378147926,5,5.488701343536377,0.0,0.0,48.57169884857256,92.02020263671875
-0.0010121967643499374,0.0,149.70542809932036,6,0.0010121992090716958,2.4437905032925755e-09,133.2826385498047,2.022774379877051,0.0066449460573494434,17500,380.78247898511376,13.536048889160156,179.34468986047213,5,5.429715633392334,0.0,0.0,63.26658128378868,119.74658966064453
-0.00120057282038033,0.0,153.4633435257763,7,0.001200570142827928,-2.634525264610943e-09,125.22958374023438,1.8156064466901953,0.007038609124720097,20000,415.7620035898719,13.02984619140625,185.4197202754452,5,5.3450927734375,0.0,0.0,66.9067909138392,112.19973754882812
-0.0011907514417544007,0.0,156.21790199270453,8,0.0011907482985407114,-3.111362500973769e-09,111.96063995361328,1.857414490617091,0.007071357686072588,22500,430.95909608362956,12.440299987792969,189.63767437587907,5,5.3247880935668945,0.0,0.0,69.09203359602158,99.52033996582031
-0.002663609106093645,0.0,156.42410150660714,9,0.002663609804585576,6.02006888783535e-10,110.19259643554688,1.7725194384925584,0.008398416452109814,25000,463.92033536695556,11.800888061523438,194.04594532265122,5,5.336005687713623,0.0,0.0,69.90833452784528,98.39170837402344
-0.0032313663978129625,0.0,145.11692943882719,10,0.003231363371014595,-3.0875206835645486e-09,66.09154510498047,1.8870296321636655,0.0064543914049863815,27500,390.77796941797254,5.577144622802734,175.07920723346896,5,5.358607292175293,0.0,0.0,62.52277711403068,60.514400482177734
-0.0008117206743918359,0.0,183.20092905302803,11,0.0008117196848616004,-9.655952704079596e-10,167.07139587402344,2.0481678860732186,0.006454491522163153,30000,528.5637539420691,28.555557250976562,225.51805328959256,5,5.36237907409668,0.0,0.0,86.39385764592083,138.51583862304688
-0.0005041562835685909,0.0,254.48349600502812,12,0.0005041552940383554,-1.00135799652179e-09,341.583984375,1.9056919863506003,0.0071347663179039955,32500,632.1132362380438,83.4208984375,307.3691236775864,5,5.377397060394287,0.0,0.0,124.98502700085753,258.1630859375
-0.0009247618727385998,0.0,226.25834480839507,13,0.0009247620473615825,1.84774404110577e-10,179.52056884765625,1.7648929751943572,0.008545082062482834,35000,565.3745529549753,25.519851684570312,273.10217034087174,5,5.355865955352783,0.0,0.0,111.53304186550108,154.00071716308594
-0.0006764587014913559,0.0,248.2828992838203,14,0.0006764568970538676,-1.820921857742519e-09,206.76239013671875,1.8150211526151392,0.007335705682635307,37500,714.710572552453,33.36363220214844,306.53591795425103,5,5.35131311416626,0.0,0.0,117.58181823964101,173.3987579345703
-0.0006366636953316629,0.0,244.0112039872021,15,0.0006366643938235939,7.212161978742415e-10,127.70938873291016,1.8672086487877144,0.006421604193747044,40000,635.9016145110996,15.471527099609375,295.5324655195241,5,5.410250186920166,0.0,0.0,111.7723721410853,112.23786163330078
-0.001637641922570765,0.0,172.8984702483877,16,0.001637643319554627,1.3589859237939095e-09,40.49645233154297,1.7885926245616888,0.009234044700860977,42500,449.9438295252109,1.7214164733886719,208.51301441071416,5,5.452796459197998,0.0,0.0,77.82895726296421,38.7750358581543
-0.001456192578189075,0.0,144.493860377585,17,0.0014561916468665004,-8.821487429422348e-10,20.213594436645508,1.6157472091656904,0.006770971696823835,45000,367.2349271251623,0.4359931945800781,173.4755410651356,5,5.408409595489502,0.0,0.0,59.83167070639767,19.77760124206543
