Evaluation/TerminationRate,GaussianMLPPolicy/LossBefore,GaussianMLPValueFunction/LossAfter,TotalEnvSteps,GaussianMLPPolicy/KL,GaussianMLPValueFunction/dLoss,Evaluation/AverageDiscountedReturn,GaussianMLPPolicy/LossAfter,Evaluation/MinReturn,GaussianMLPPolicy/dLoss,GaussianMLPPolicy/KLBefore,Evaluation/NumEpisodes,GaussianMLPValueFunction/LossBefore,GaussianMLPPolicy/Entropy,Evaluation/StdReturn,Evaluation/Iteration,Evaluation/MaxReturn,Evaluation/AverageReturn,Evaluation/SuccessRate
0.0,-9.7056229719783e-09,419.34234619140625,1500,0.009708132594823837,180.3939208984375,59.350636985947695,-0.003307655919343233,7.577054957357633,0.0033076461404561996,0.0,3,599.7362670898438,5.7409186363220215,132.39075259398817,0,329.52450515102583,179.7820887795475,0.0
0.0,9.934107980669182e-10,361.9377136230469,3000,0.009124665521085262,57.86944580078125,39.42754654847886,-0.0031223862897604704,1.350622583215406,0.003122387221083045,0.0,3,419.8071594238281,5.75443172454834,174.09005260125355,1,370.7658265161643,124.56534854535015,0.0
0.0,-1.7929076534528576e-07,1.2400823831558228,4500,0.00930862594395876,24.382720351219177,1.9805623962285903,-0.010468616150319576,1.8421808179981085,0.010468436405062675,0.0,3,25.622802734375,5.834815979003906,2.288310849225085,2,7.339860251486688,4.906419766231114,0.0
0.0,6.834665722266209e-09,692.6281127929688,6000,0.006380775012075901,303.64886474609375,91.0792044011427,-0.0014873056206852198,7.156491159660315,0.0014873124891892076,0.0,3,996.2769775390625,5.83949613571167,192.74878596274166,3,456.33021855461755,273.7309815650806,0.0
0.0,-1.629193668861717e-09,555.6830444335938,7500,0.009763466194272041,116.9891357421875,56.44620272982675,-0.002453381894156337,1.3080402592035725,0.002453380264341831,0.0,3,672.6721801757812,5.896020412445068,248.24147093097835,4,527.9699421871576,176.9034946071754,0.0
0.0,-1.0490417423625331e-07,1.3240488767623901,9000,0.007604881189763546,1.7462238073349,2.178720380364055,-0.04954907298088074,1.7015623319570634,0.04954896867275238,0.0,3,3.07027268409729,5.876713752746582,2.488500230805415,5,7.4830149174392355,5.149858231274549,0.0
0.0,-2.227723561176731e-09,3095.10107421875,10500,0.00651750061661005,1283.02880859375,154.10038670549883,-0.0005187888746149838,5.288277218240945,0.0005187866627238691,0.0,3,4378.1298828125,5.90740966796875,535.4413297290729,6,1294.7208562306148,580.7537366008083,0.0
0.0,1.2069940602543738e-09,2775.195068359375,12000,0.006803540512919426,589.056884765625,109.54524389729623,-0.0004013461002614349,1.7746795894614402,0.00040134729351848364,0.0,3,3364.251953125,5.869475364685059,643.421136975691,7,1366.7208791919452,456.78598237244904,0.0
0.0,3.1471252270875993e-08,1.757955551147461,13500,0.009364805184304714,0.1158607006072998,2.6548289850585483,-0.03678246960043907,1.8950117661231942,0.03678249940276146,0.0,3,1.8738162517547607,5.872394561767578,3.5412418210837955,8,9.71639663342739,6.888459195525415,0.0
0.0,-3.029902773121762e-09,4418.939453125,15000,0.008774488233029842,1250.73193359375,235.50691761980582,-0.0005598597927019,7.681073594867758,0.0005598567659035325,0.0,3,5669.67138671875,5.935798168182373,651.3655382566068,9,1432.7296201669399,927.3484187102435,0.0
0.0,1.0455648569163145e-09,2516.97021484375,16500,0.006292938254773617,318.964111328125,153.16931726213969,-0.0005026115104556084,1.6234247913179254,0.0005026125581935048,0.0,3,2835.934326171875,5.925384044647217,711.6149018914554,10,1511.2751127749252,504.8996725248888,0.3333333333333333
0.0,-1.0649362991443923e-07,1.749267578125,18000,0.006420576013624668,0.4364955425262451,1.9352915019117392,-0.03211042657494545,1.477086990246315,0.032110318541526794,0.0,3,2.185763120651245,5.89228630065918,2.9604912745793666,11,8.071694960923722,5.6451280787645315,0.0
0.0,1.057982479402142e-09,1440.963623046875,19500,0.00774756632745266,117.9945068359375,194.6369913608903,-0.0005121839931234717,7.059813986550407,0.0005121850408613682,0.0,3,1558.9581298828125,5.804630756378174,416.3659553223626,12,1026.2826513549537,527.2717841333059,0.0
0.0,1.6639629674131129e-09,2274.709228515625,21000,0.006642429158091545,305.69384765625,106.44252782223462,-0.0006234736647456884,1.6601996433355057,0.0006234753527678549,0.0,3,2580.403076171875,5.849331855773926,640.0289341322326,13,1359.4124315914212,454.2748341778275,0.0
0.0,-1.2715657859985185e-08,1.7984192371368408,22500,0.009795530699193478,0.1993011236190796,1.7409815348352753,-0.03621071204543114,1.9917011022021325,0.03621070086956024,0.0,3,1.9977203607559204,5.847914695739746,2.2122577294819665,14,7.182693763696709,5.036094299187989,0.0
0.0,-9.760260377689178e-10,1704.6243896484375,24000,0.00976456981152296,202.5699462890625,136.6611992335833,-0.0004751764063257724,9.178866047442897,0.0004751754167955369,0.0,3,1907.1943359375,5.88134241104126,506.6699948160375,15,1247.5339014022597,604.6152304731116,0.0
0.0,-3.933906533859499e-09,341.857177734375,25500,0.006949985399842262,12.579315185546875,48.14613532594398,-0.0011494128266349435,1.840741481564305,0.0011494088685140014,0.0,3,354.4364929199219,5.890427112579346,336.1296584543755,16,715.0162339993847,239.6571385620723,0.0
